codigo,descripcion
7,Despachar a Dirección de envío
9,Despachar según programa adjuntado
12,"Otra Forma de Despacho, Ver Instruc"
14,Retiramos de su bodega
20,Despacho por courier o encomienda aérea
21,Despacho por courier o encomienda terrestre
22,A convenir
